metric_id,db_type,scenario,granularity,entity_key,forecast_version,key_namespace,unit,source_object,source_file,source_object_count,row_count,n_windows,avg_mape,max_mape,avg_smape,avg_rmse,avg_mae,avg_bias_pct,avg_accuracy,min_accuracy,evaluation_start_min,evaluation_end_max,availability_status,computability_status,not_computable_reason,single_version_accuracy_only,contract_version,rank_mape_within_partition
hdd_edb,EDB,not_applicable,forest,NAMP220,2026-04-06 19:49:02,forest_keys,UNKNOWN,forecast_substrateBE_hdd_forest_metrics,hdd_forest_metrics.csv,1,9,9,0.835556,0.95,0.841111,131.627778,131.03,-0.835556,99.164444,99.05,2026-04-07,2026-04-21,local_ingested,accuracy_only,NO_TARGET_DATE_GRAIN|NO_FORECAST_FACT_TABLE|SHINY_NOT_CONNECTED,False,v6.0d,78
hdd_edb,EDB,not_applicable,forest,NAMP220,2026-04-16 07:50:38,forest_keys,UNKNOWN,forecast_substrateBE_hdd_forest_metrics,hdd_forest_metrics.csv,1,16,15,53.811875,54.56,42.401875,8533.890625,8533.870625,53.811875,46.188125,45.44,2026-04-16,2026-05-06,local_ingested,accuracy_only,NO_TARGET_DATE_GRAIN|NO_FORECAST_FACT_TABLE|SHINY_NOT_CONNECTED,False,v6.0d,134
hdd_edb,EDB,not_applicable,forest,NAMP221,2026-04-06 19:49:02,forest_keys,UNKNOWN,forecast_substrateBE_hdd_forest_metrics,hdd_forest_metrics.csv,1,9,9,0.854444,0.98,0.855556,202.052222,200.668889,-0.854444,99.145556,99.02,2026-04-07,2026-04-21,local_ingested,accuracy_only,NO_TARGET_DATE_GRAIN|NO_FORECAST_FACT_TABLE|SHINY_NOT_CONNECTED,False,v6.0d,79
hdd_edb,EDB,not_applicable,forest,NAMP222,2026-04-06 19:49:02,forest_keys,UNKNOWN,forecast_substrateBE_hdd_forest_metrics,hdd_forest_metrics.csv,1,9,9,0.618889,0.69,0.621111,143.328889,142.263333,-0.618889,99.381111,99.31,2026-04-07,2026-04-21,local_ingested,accuracy_only,NO_TARGET_DATE_GRAIN|NO_FORECAST_FACT_TABLE|SHINY_NOT_CONNECTED,False,v6.0d,63
hdd_edb,EDB,not_applicable,forest,NAMP223,2026-04-06 19:49:02,forest_keys,UNKNOWN,forecast_substrateBE_hdd_forest_metrics,hdd_forest_metrics.csv,1,9,9,0.935556,0.98,0.941111,169.152222,168.854444,-0.935556,99.064444,99.02,2026-04-07,2026-04-21,local_ingested,accuracy_only,NO_TARGET_DATE_GRAIN|NO_FORECAST_FACT_TABLE|SHINY_NOT_CONNECTED,False,v6.0d,82
hdd_edb,EDB,not_applicable,forest,NAMP223,2026-05-01 03:35:00,forest_keys,UNKNOWN,forecast_substrateBE_hdd_forest_metrics,hdd_forest_metrics.csv,1,32,32,63.245,66.59,48.045,12148.445625,12148.369062,63.24375,36.755,33.41,2026-05-01,2026-06-09,local_ingested,accuracy_only,NO_TARGET_DATE_GRAIN|NO_FORECAST_FACT_TABLE|SHINY_NOT_CONNECTED,False,v6.0d,144
hdd_edb,EDB,not_applicable,forest,NAMP283,2026-04-06 19:49:02,forest_keys,UNKNOWN,forecast_substrateBE_hdd_forest_metrics,hdd_forest_metrics.csv,1,9,9,14.514444,15.36,15.663333,6.963333,6.93,-14.531111,85.485556,84.64,2026-04-07,2026-04-21,local_ingested,accuracy_only,NO_TARGET_DATE_GRAIN|NO_FORECAST_FACT_TABLE|SHINY_NOT_CONNECTED,False,v6.0d,136
hdd_edb,EDB,not_applicable,forest,NAMP283,2026-05-01 03:35:00,forest_keys,UNKNOWN,forecast_substrateBE_hdd_forest_metrics,hdd_forest_metrics.csv,1,32,32,46.284687,485.69,16.784375,7.2125,6.438125,1.551875,80.429375,0.0,2026-05-01,2026-06-09,local_ingested,accuracy_only,NO_TARGET_DATE_GRAIN|NO_FORECAST_FACT_TABLE|SHINY_NOT_CONNECTED,False,v6.0d,136
hdd_edb,EDB,not_applicable,forest,NAMPRD00,2026-04-06 19:49:02,forest_keys,UNKNOWN,forecast_substrateBE_hdd_forest_metrics,hdd_forest_metrics.csv,1,9,9,4.077778,8.14,3.936667,137.031111,117.807778,3.976667,95.922222,91.86,2026-04-07,2026-04-21,local_ingested,accuracy_only,NO_TARGET_DATE_GRAIN|NO_FORECAST_FACT_TABLE|SHINY_NOT_CONNECTED,False,v6.0d,125
hdd_edb,EDB,not_applicable,forest,NAMPRD00,2026-04-16 07:50:38,forest_keys,UNKNOWN,forecast_substrateBE_hdd_forest_metrics,hdd_forest_metrics.csv,1,16,15,7.8475,8.98,7.548125,227.0725,226.851875,7.845625,92.1525,91.02,2026-04-16,2026-05-06,local_ingested,accuracy_only,NO_TARGET_DATE_GRAIN|NO_FORECAST_FACT_TABLE|SHINY_NOT_CONNECTED,False,v6.0d,100
